,NO.1_8.775 m,NO.2_11.938 m,NO.3_25.605 m,NO.4_41.577 m,NO.5_50.306 m,NO.6_67.395 m,NO.7_86.914 m,NO.8_117.442 m,NO.9_122.818 m,NO.10_156.59 m,NO.11_161.876 m,NO.12_172.889 m,NO.13_177.694 m,NO.14_185.386 m,NO.15_198.421 m,NO.16_220.335 m,NO.17_228.408 m,NO.18_232.852 m,NO.19_242.032 m,NO.20_252.265 m,NO.21_272.728 m,NO.22_283.383 m,NO.23_288.7 m,NO.24_294.698 m,NO.25_296.425 m
2011-11-18 00:00:00,8.774,11.931,25.601,41.565,50.287,67.357,86.864,117.354,122.728,156.465,161.747,172.761,177.56,185.224,198.247,220.153,228.218,232.636,241.8,251.998,272.377,282.997,288.3,294.286,
2011-12-20 00:00:00,8.773,11.933,25.6,41.567,50.288,67.36,86.866,117.358,122.733,156.471,161.755,172.768,177.566,185.231,198.254,220.161,228.226,232.645,241.808,252.005,272.387,283.003,288.306,294.292,
2012-01-12 00:00:00,8.772,11.933,25.598,41.565,50.286,67.36,86.865,117.358,122.732,156.472,161.754,172.766,177.564,185.229,198.252,220.159,228.224,232.643,241.807,252.004,272.385,283.001,288.304,294.29,
2012-02-21 00:00:00,8.771,11.933,25.597,41.563,50.285,67.359,86.863,117.354,122.727,156.465,161.744,172.756,177.547,185.218,198.241,220.147,228.213,232.632,241.797,251.993,272.373,282.99,288.292,294.278,
2014-04-23 00:00:00,8.771,11.933,25.597,41.562,50.28,,86.855,117.338,122.709,156.438,,172.729,,185.188,198.21,220.117,,232.597,241.76,251.953,272.313,282.934,288.231,294.223,
2014-05-07 00:00:00,8.771,11.934,25.597,41.561,50.282,,86.852,117.336,122.71,156.439,,172.731,,185.188,198.211,220.113,228.18,232.6,241.757,251.949,272.315,282.931,288.235,294.222,
2014-06-17 00:00:00,8.774,11.935,25.6,41.564,50.285,67.356,86.855,117.345,122.719,156.45,161.734,172.743,177.538,185.203,198.222,220.131,228.19,232.61,241.773,251.962,272.329,282.944,288.251,294.228,
2014-07-15 00:00:00,8.774,11.937,25.6,41.564,50.285,67.357,86.856,117.344,122.716,156.447,161.73,172.74,177.537,185.202,198.22,220.126,228.191,232.607,241.77,251.959,272.325,282.942,288.24,294.225,
2014-08-13 00:00:00,8.773,11.935,25.6,41.564,50.286,67.356,86.857,117.345,122.717,156.449,161.732,172.741,177.539,185.202,198.221,220.127,228.192,232.61,241.77,251.962,272.325,282.941,288.239,294.224,
2014-09-01 00:00:00,8.774,11.939,25.602,41.565,50.288,67.358,86.857,117.345,122.718,156.449,161.731,172.742,177.54,185.203,198.222,220.127,228.192,232.611,241.77,251.963,272.326,282.942,288.241,294.225,
2014-10-15 00:00:00,8.774,11.939,25.601,41.564,50.286,67.356,86.854,117.341,122.713,156.443,161.725,172.735,177.533,185.194,198.212,220.116,228.182,232.6,241.756,251.95,272.314,282.927,288.234,294.221,
2014-11-21 00:00:00,8.773,11.939,25.599,41.561,50.283,67.352,86.854,117.339,122.711,156.441,161.722,172.732,177.53,185.192,198.21,220.115,228.18,232.595,241.753,251.95,272.311,282.928,288.231,294.22,
2014-12-04 00:00:00,8.77,11.935,25.596,41.56,50.283,67.354,86.854,117.341,122.712,156.442,161.723,172.733,177.532,185.193,198.213,220.119,228.181,232.598,241.756,251.953,272.314,282.925,288.233,294.215,
2015-01-12 00:00:00,8.769,11.931,25.596,41.56,50.283,67.353,86.853,117.341,122.713,156.443,161.724,172.735,177.533,185.195,198.215,220.119,228.182,232.599,241.757,251.953,272.316,282.928,288.236,294.217,
2015-02-09 00:00:00,8.768,11.93,25.596,41.558,50.28,67.348,86.848,117.334,122.704,156.433,161.714,172.725,177.522,185.183,198.203,220.108,228.169,232.587,241.744,251.938,272.3,282.917,288.221,294.205,
2015-03-19 00:00:00,8.769,11.931,25.595,41.557,50.278,67.347,86.845,117.328,122.699,156.426,161.708,172.716,177.512,185.175,198.193,220.097,228.162,232.578,241.736,251.926,272.292,282.905,288.21,294.195,
2015-04-24 00:00:00,8.769,11.93,25.596,41.556,50.279,67.345,86.842,117.323,122.697,156.421,161.702,172.713,177.511,185.172,198.188,220.095,228.158,232.574,241.733,251.923,272.285,282.898,288.202,294.187,
2015-05-15 00:00:00,8.769,11.931,25.595,41.556,50.277,67.343,86.84,117.322,122.695,156.419,161.698,172.709,177.506,185.167,198.185,220.09,228.151,232.569,241.727,251.919,272.28,282.892,288.197,294.178,
2015-06-12 00:00:00,8.771,11.936,25.596,41.558,50.278,67.347,86.846,117.327,122.699,156.425,161.706,172.715,177.509,185.173,198.191,220.096,228.159,232.577,241.734,251.926,272.287,282.9,288.206,294.184,
2015-07-10 00:00:00,8.771,11.935,25.596,41.558,50.279,67.347,86.844,117.326,122.699,156.422,161.707,172.717,177.513,185.175,198.195,220.098,228.159,232.581,241.735,251.929,272.29,282.902,288.205,294.187,
2015-08-19 00:00:00,8.771,11.935,25.597,41.559,50.278,67.348,86.848,117.329,122.701,156.426,161.709,172.719,177.516,185.178,198.195,220.101,228.163,232.58,241.737,251.928,272.284,282.903,288.207,294.19,
2015-09-22 00:00:00,8.772,11.936,25.597,41.56,50.279,67.35,86.848,117.33,122.702,156.429,161.71,172.72,177.517,185.18,198.196,220.102,228.165,232.581,241.737,251.93,272.286,282.905,288.207,294.192,
2015-10-13 00:00:00,8.772,11.935,25.598,41.56,50.281,67.349,86.846,117.332,122.704,156.432,161.714,172.722,177.52,185.182,198.198,220.103,228.167,232.585,241.74,251.934,272.291,282.905,288.206,294.194,
2015-11-10 00:00:00,8.773,11.935,25.598,41.56,50.281,67.35,86.847,117.331,122.703,156.43,161.712,172.721,177.518,185.179,198.196,220.1,228.165,232.582,241.738,251.93,272.287,282.9,288.205,294.191,
2015-12-16 00:00:00,8.772,11.934,25.596,41.558,50.28,67.349,86.845,117.331,122.704,156.432,161.712,172.723,177.52,185.182,198.198,220.103,228.169,232.584,241.743,251.935,272.29,282.902,288.209,294.195,
2016-01-11 00:00:00,8.771,11.933,25.596,41.561,50.281,67.348,86.85,117.333,122.707,156.434,161.715,172.726,177.523,185.183,198.201,220.108,228.172,232.588,241.747,251.938,272.293,282.906,288.212,294.197,
2016-02-23 00:00:00,8.771,11.935,25.595,41.56,50.279,67.346,86.848,117.328,122.699,156.425,161.707,172.717,177.514,185.174,198.192,220.098,228.16,232.578,241.735,251.925,272.28,282.894,288.198,294.184,
2016-03-14 00:00:00,8.771,11.935,25.595,41.557,50.278,67.343,86.844,117.324,122.698,156.423,161.706,172.714,177.511,185.173,198.188,220.094,228.157,232.576,241.731,251.923,272.275,282.889,288.195,294.18,
2016-04-19 00:00:00,8.771,11.934,25.596,41.556,50.279,67.345,86.847,117.328,122.702,156.428,161.711,172.718,177.516,185.178,198.193,220.098,228.162,232.581,241.736,251.927,272.278,282.894,288.197,294.185,
2016-06-15 00:00:00,8.771,11.935,25.596,41.555,50.278,67.345,86.844,117.324,122.696,156.42,161.702,172.709,177.506,185.166,198.182,220.087,228.151,232.569,241.726,251.917,272.268,282.885,288.188,294.175,
2016-07-06 00:00:00,8.772,11.935,25.596,41.557,50.278,67.346,86.845,117.325,122.695,156.42,161.702,172.71,177.506,185.167,198.183,220.089,228.151,232.569,241.728,251.917,272.268,282.884,288.186,294.171,
2016-08-15 00:00:00,8.772,11.935,25.597,41.559,50.279,67.349,86.846,117.327,122.696,156.422,161.702,172.712,177.509,185.171,198.188,220.091,228.154,232.571,241.728,251.919,272.268,282.887,288.188,294.172,
2016-09-23 00:00:00,8.772,11.936,25.598,41.56,50.281,67.349,86.848,117.329,122.698,156.425,161.707,172.718,177.515,185.177,198.192,220.097,228.16,232.577,241.732,251.923,272.271,282.889,288.189,294.174,
2016-10-12 00:00:00,8.772,11.936,25.598,41.559,50.281,67.349,86.847,117.33,122.703,156.428,161.709,172.719,177.517,185.178,198.194,220.099,228.162,232.579,241.734,251.927,272.274,282.89,288.195,294.18,
2016-11-12 00:00:00,8.772,11.936,25.598,41.559,50.281,67.349,86.847,117.329,122.7,156.424,161.706,172.717,177.513,185.173,198.19,220.094,228.157,232.575,241.73,251.921,272.271,282.885,288.191,294.175,
2016-12-06 00:00:00,8.771,11.935,25.596,41.558,50.28,67.348,86.846,117.332,122.703,156.427,161.709,172.72,177.517,185.177,198.193,220.098,228.161,232.577,241.734,251.925,272.276,282.892,288.188,294.172,
2017-01-17 00:00:00,8.771,11.934,25.597,41.559,50.279,67.348,86.847,117.329,122.699,156.422,161.705,172.715,177.51,185.171,198.189,220.095,228.158,232.572,241.73,251.92,272.272,282.888,288.188,294.172,296.425
2017-02-08 00:00:00,8.771,11.935,25.597,41.558,50.277,67.345,86.843,117.323,122.691,156.416,161.698,172.707,177.502,185.163,198.179,220.086,228.147,232.562,241.719,251.91,272.258,282.878,288.176,294.162,296.411
2017-03-08 00:00:00,8.771,11.935,25.596,41.559,50.275,67.342,86.838,117.317,122.687,156.41,161.691,172.699,177.496,185.156,198.171,220.076,228.138,232.554,241.712,251.899,272.246,282.863,288.16,294.147,296.399
2017-04-17 00:00:00,8.771,11.934,25.597,41.556,50.275,67.343,86.838,117.315,122.685,156.407,161.687,172.697,177.493,185.153,198.169,220.073,228.134,232.552,241.708,251.896,272.247,282.861,288.162,294.148,296.398
2017-05-18 00:00:00,8.77,11.934,25.595,41.555,50.274,67.338,86.833,117.31,122.681,156.401,161.681,172.691,177.486,185.145,198.163,220.065,228.129,232.544,241.701,251.889,272.238,282.852,288.154,294.139,296.39
2017-06-14 00:00:00,8.77,11.934,25.595,41.556,50.276,67.34,86.837,117.314,122.684,156.407,161.688,172.699,177.494,185.153,198.17,220.072,228.137,232.551,241.707,251.897,272.245,282.859,288.16,294.145,296.397
2017-07-18 00:00:00,8.768,11.932,25.593,41.553,50.274,67.341,86.839,117.318,122.689,156.412,161.694,172.703,177.498,185.159,198.175,220.08,228.142,232.559,241.713,251.903,272.252,282.865,288.169,294.153,296.403
2017-08-02 00:00:00,8.768,11.932,25.595,41.556,50.276,67.342,86.839,117.318,122.689,156.412,161.694,172.703,177.5,185.16,198.175,220.081,228.142,232.558,241.713,251.904,272.252,282.867,288.167,294.151,296.403
2017-09-10 00:00:00,8.768,11.932,25.594,41.556,50.274,67.34,86.835,117.32,122.689,156.414,161.695,172.705,177.502,185.16,198.178,220.08,228.144,232.559,241.716,251.905,272.254,282.868,288.17,294.155,296.406
2017-10-06 00:00:00,8.767,11.932,25.592,41.552,50.271,67.337,86.832,117.314,122.683,156.406,161.687,172.696,177.491,185.152,198.168,220.073,228.135,232.552,241.706,251.894,272.245,282.858,288.159,294.143,296.395
2017-11-02 00:00:00,8.765,11.93,25.591,41.552,50.271,67.335,86.831,117.314,122.682,156.405,161.686,172.696,177.491,185.148,198.167,220.069,228.134,232.549,241.705,251.893,272.241,282.856,288.157,294.141,296.392
2017-12-21 00:00:00,8.764,11.927,25.592,41.552,50.272,67.336,86.834,117.318,122.686,156.41,161.692,172.702,177.497,185.156,198.173,220.077,228.14,232.556,241.709,251.898,272.247,282.862,288.163,294.147,296.399
2018-01-11 00:00:00,8.764,11.927,25.591,41.553,50.272,67.335,86.834,117.319,122.687,156.411,161.694,172.702,177.497,185.156,198.174,220.08,228.142,232.558,241.712,251.901,272.249,282.864,288.162,294.147,296.399
2018-02-06 00:00:00,8.763,11.926,25.59,41.551,50.27,67.334,86.832,117.313,122.683,156.405,161.687,172.696,177.492,185.151,198.167,220.072,228.135,232.55,241.705,251.893,272.241,282.855,288.156,294.143,296.394
2018-03-13 00:00:00,8.763,11.925,25.589,41.549,50.267,67.33,86.826,117.307,122.675,156.397,161.678,172.687,177.483,185.14,198.157,220.062,228.124,232.54,241.695,251.883,272.23,282.845,288.145,294.129,296.379
2018-04-10 00:00:00,8.763,11.927,25.589,41.549,50.267,67.328,86.822,117.301,122.67,156.392,161.673,172.682,177.477,185.135,198.15,220.055,228.117,232.531,241.686,251.874,272.221,282.835,288.135,294.12,296.371
2018-05-08 00:00:00,8.763,11.925,25.59,41.548,50.265,67.326,86.821,117.299,122.667,156.387,161.666,172.675,177.469,185.127,198.143,220.048,228.111,232.525,241.68,251.868,272.214,282.827,288.127,294.113,296.364
2018-06-20 00:00:00,8.764,11.926,25.59,41.548,50.265,67.324,86.818,117.298,122.666,156.385,161.664,172.674,177.469,185.127,198.142,220.044,228.106,232.521,241.674,251.864,272.208,282.822,288.12,294.105,296.357
2018-07-16 00:00:00,8.767,11.93,25.591,41.551,50.268,67.329,86.824,117.304,122.674,156.393,161.673,172.683,177.477,185.137,198.151,220.045,228.117,232.533,241.685,251.874,272.22,282.834,288.132,294.118,296.369
2018-08-06 00:00:00,8.765,11.93,25.59,41.551,50.266,67.33,86.825,117.306,122.671,156.392,161.671,172.681,177.475,185.133,198.15,220.051,228.115,232.529,241.683,251.871,272.215,282.831,288.129,294.115,296.365
2018-09-04 00:00:00,8.765,11.929,25.591,41.551,50.269,67.333,86.826,117.307,122.675,156.397,161.677,172.687,177.482,185.14,198.155,220.059,228.121,232.535,241.689,251.878,272.222,282.836,288.135,294.12,296.371
2018-10-02 00:00:00,8.765,11.928,25.591,41.55,50.267,67.331,86.825,117.305,122.671,156.391,161.671,172.678,177.474,185.133,198.146,220.052,228.112,232.525,241.681,251.867,272.214,282.827,288.126,294.109,296.362
2018-11-16 00:00:00,8.764,11.926,25.589,41.549,50.264,67.329,86.823,117.302,122.669,156.388,161.67,172.677,177.472,185.13,198.146,220.049,228.11,232.524,241.678,251.866,272.213,282.825,288.123,294.108,296.359
2018-12-07 00:00:00,8.764,11.926,25.59,41.55,50.266,67.33,86.824,117.304,122.672,156.392,161.674,172.681,177.477,185.134,198.15,220.054,228.116,232.53,241.685,251.872,272.217,282.83,288.129,294.115,296.364
2019-01-09 00:00:00,8.765,11.929,25.59,41.549,50.266,67.328,86.821,117.303,122.671,156.391,161.672,172.681,177.478,185.134,198.15,220.054,228.117,232.531,241.685,251.872,272.216,282.83,288.128,294.114,296.363
2019-02-11 00:00:00,8.766,11.928,25.589,41.547,50.264,67.323,86.816,117.294,122.661,156.38,161.661,172.67,177.464,185.122,198.137,220.041,228.102,232.517,241.67,251.857,272.201,282.813,288.113,294.099,296.348
2019-03-05 00:00:00,8.765,11.925,25.588,41.547,50.263,67.321,86.814,117.292,122.662,156.378,161.659,172.667,177.462,185.119,198.135,220.038,228.099,232.513,241.666,251.853,272.197,282.809,288.11,294.094,296.344
2019-04-10 00:00:00,8.764,11.926,25.589,41.547,50.264,67.324,86.813,117.292,122.661,156.378,161.657,172.666,177.461,185.118,198.133,220.035,228.096,232.513,241.666,251.853,272.195,282.808,288.106,294.091,296.342
2019-05-06 00:00:00,8.763,11.927,25.59,41.548,50.265,67.323,86.816,117.296,122.663,156.382,161.661,172.67,177.465,185.12,198.136,220.039,228.101,232.516,241.668,251.855,272.197,282.809,288.108,294.094,296.344
2019-06-11 00:00:00,8.765,11.928,25.59,41.55,50.267,67.326,86.82,117.3,122.667,156.386,161.665,172.674,177.47,185.126,198.141,220.045,228.107,232.519,241.673,251.857,272.2,282.812,288.113,294.099,296.348
2019-07-03 00:00:00,8.764,11.927,25.59,41.55,50.267,67.33,86.824,117.303,122.671,156.39,161.669,172.68,177.474,185.133,198.148,220.052,228.112,232.527,241.68,251.867,272.211,282.823,288.12,294.106,296.357
2019-08-06 00:00:00,8.765,11.928,25.59,41.549,50.268,67.332,86.824,117.303,122.67,156.39,161.67,172.679,177.474,185.134,198.146,220.051,228.113,232.526,241.681,251.865,272.208,282.822,288.122,294.106,296.357
2019-09-03 00:00:00,8.766,11.928,25.59,41.551,50.269,67.334,86.827,117.307,122.674,156.397,161.676,172.684,177.479,185.138,198.152,220.057,228.118,232.533,241.686,251.87,272.214,282.828,288.128,294.112,296.364
2019-10-07 00:00:00,8.764,11.927,25.59,41.55,50.268,67.329,86.823,117.302,122.668,156.389,161.669,172.678,177.471,185.13,198.145,220.048,228.11,232.525,241.678,251.863,272.207,282.82,288.118,294.104,296.354
2019-11-06 00:00:00,8.765,11.926,25.589,41.55,50.266,67.327,86.819,117.297,122.665,156.385,161.666,172.673,177.468,185.126,198.14,220.043,228.105,232.52,241.672,251.858,272.202,282.815,288.113,294.097,296.348
2019-12-11 00:00:00,8.763,11.924,25.589,41.547,50.267,67.328,86.82,117.3,122.669,156.387,161.669,172.677,177.471,185.129,198.145,220.048,228.11,232.523,241.675,251.862,272.205,282.816,288.116,294.101,296.351
2020-01-14 00:00:00,8.763,11.924,25.589,41.548,50.267,67.328,86.82,117.301,122.67,156.389,161.67,172.679,177.475,185.131,198.146,220.05,228.111,232.526,241.678,251.865,272.206,282.818,288.118,294.103,296.353
2020-02-06 00:00:00,8.763,11.925,25.589,41.547,50.265,67.323,86.816,117.296,122.664,156.382,161.662,172.672,177.467,185.122,198.137,220.041,228.102,232.516,241.67,251.856,272.197,282.81,288.109,294.094,296.343
2020-03-04 00:00:00,8.762,11.924,25.588,41.546,50.263,67.322,86.815,117.293,122.661,156.375,161.656,172.664,177.459,185.115,198.13,220.033,228.094,232.509,241.663,251.848,272.188,282.801,288.1,294.083,296.332
2020-04-21 00:00:00,8.763,11.925,25.588,41.545,50.262,67.321,86.813,117.29,122.657,156.371,161.652,172.659,177.455,185.111,198.125,220.028,228.087,232.504,241.653,251.841,272.179,282.791,288.089,294.074,296.324
2020-05-05 00:00:00,8.764,11.925,25.588,41.545,50.261,67.32,86.811,117.287,122.654,156.368,161.648,172.653,177.448,185.107,198.122,220.022,228.084,232.498,241.649,251.835,272.173,282.788,288.084,294.069,296.321
2020-06-11 00:00:00,8.764,11.926,25.59,41.547,50.264,67.322,86.813,117.291,122.659,156.375,161.653,172.661,177.458,185.115,198.131,220.03,228.093,232.505,241.658,251.843,272.183,282.796,288.094,294.078,296.329
2020-07-07 00:00:00,8.765,11.927,25.591,41.551,50.266,67.325,86.818,117.295,122.66,156.379,161.656,172.666,177.459,185.118,198.133,220.037,228.095,232.511,241.665,251.848,272.186,282.799,288.098,294.083,296.332
2020-08-04 00:00:00,8.764,11.928,25.591,41.551,50.267,67.325,86.816,117.295,122.66,156.376,161.656,172.665,177.459,185.116,198.131,220.032,228.093,232.506,241.659,251.843,272.182,282.793,288.094,294.077,296.326
2020-09-09 00:00:00,8.765,11.928,25.589,41.548,50.266,67.324,86.817,117.295,122.663,156.38,161.66,172.669,177.462,185.12,198.134,220.036,228.098,232.511,241.664,251.849,272.189,282.8,288.1,294.084,296.335
2020-10-14 00:00:00,8.766,11.926,25.589,41.547,50.264,67.321,86.813,117.289,122.656,156.371,161.649,172.658,177.451,185.111,198.123,220.026,228.087,232.501,241.652,251.838,272.177,282.789,288.088,294.072,296.321
2020-11-09 00:00:00,8.766,11.927,25.59,41.547,50.264,67.322,86.813,117.29,122.659,156.372,161.652,172.66,177.453,185.112,198.124,220.027,228.088,232.501,241.651,251.837,272.176,282.787,288.085,294.07,296.319
2020-12-11 00:00:00,8.762,11.927,25.589,41.547,50.264,67.321,86.809,117.291,122.659,156.373,161.654,172.662,177.458,185.114,198.127,220.03,228.09,232.504,241.655,251.84,272.179,282.79,288.089,294.074,296.322
2021-01-13 00:00:00,8.762,11.926,25.587,41.546,50.263,67.319,86.81,117.29,122.66,156.375,161.656,172.664,177.46,185.114,198.129,220.029,228.092,232.505,241.657,251.842,272.182,282.793,288.088,294.075,296.324
2021-02-18 00:00:00,8.761,11.925,25.587,41.545,50.262,67.319,86.809,117.288,122.652,156.365,161.643,172.652,177.447,185.104,198.117,220.018,228.079,232.492,241.642,251.828,272.166,282.778,288.075,294.06,296.307
2021-03-10 00:00:00,8.76,11.926,25.587,41.544,50.259,67.315,86.807,117.284,122.647,156.357,161.636,172.644,177.438,185.095,198.106,220.008,228.068,232.482,241.633,251.818,272.157,282.768,288.066,294.048,296.298
2021-04-07 00:00:00,8.761,11.924,25.586,41.542,50.258,67.312,86.803,117.274,122.644,156.351,161.632,172.639,177.432,185.089,198.1,220.004,228.062,232.476,241.626,251.81,272.148,282.759,288.056,294.04,296.289
2021-05-04 00:00:00,8.763,11.924,25.586,41.54,50.256,67.31,86.799,117.272,122.637,156.348,161.624,172.632,177.426,185.082,198.093,219.996,228.055,232.47,241.62,251.804,272.141,282.751,288.05,294.032,296.283
2021-06-03 00:00:00,8.764,11.927,25.588,41.542,50.256,67.309,86.796,117.268,122.634,156.343,161.619,172.626,177.421,185.075,198.086,219.988,228.046,232.462,241.611,251.795,272.131,282.742,288.04,294.022,296.272
2021-07-02 00:00:00,8.764,11.928,25.587,41.545,50.257,67.314,86.805,117.274,122.638,156.353,161.631,172.638,177.43,185.09,198.1,220.003,228.063,232.473,241.626,251.81,272.143,282.757,288.054,294.033,296.284
2021-08-03 00:00:00,8.765,11.928,25.587,41.543,50.258,67.313,86.803,117.274,122.643,156.354,161.633,172.64,177.435,185.092,198.102,220.005,228.064,232.477,241.628,251.811,272.146,282.76,288.055,294.04,296.289
2021-09-10 00:00:00,8.764,11.927,25.587,41.544,50.259,67.315,86.805,117.276,122.643,156.356,161.634,172.641,177.435,185.091,198.103,220.005,228.064,232.478,241.629,251.812,272.147,282.76,288.056,294.04,296.289
2021-10-07 00:00:00,8.764,11.926,25.588,41.544,50.258,67.313,86.801,117.274,122.64,156.355,161.629,172.636,177.43,185.087,198.097,219.998,228.059,232.473,241.626,251.807,272.141,282.753,288.053,294.037,296.287
2021-11-04 00:00:00,8.764,11.927,25.587,41.542,50.257,67.313,86.8,117.271,122.637,156.35,161.627,172.634,177.427,185.084,198.094,219.996,228.057,232.47,241.621,251.803,272.139,282.75,288.047,294.03,296.281
